YEAR,MONTH,DAY,GRID_NO,PRECIPITATION,ET0,TEMPERATURE_AVG,WINDSPEED,RADIATION
1975,6,8,97100,0,6.04,17.3,3.6,26353
1975,6,9,97100,0,5.44,16.4,3.6,26508
1975,6,10,97100,0.5,3.78,18.1,2.9,16198
1975,6,11,97100,0,4.84,18.3,4.9,20969
1975,6,12,97100,0,5.64,20.2,2.9,26558
1975,6,13,97100,0,5.46,21.1,2,25618
1975,6,14,97100,0,5.26,19.1,2.5,26173
1975,6,15,97100,1.9,2.65,17.4,2,12035
1975,6,16,97100,0.5,3.72,14.4,2.5,17755
1975,6,17,97100,9.5,2.39,13.5,2.5,10958
1975,6,18,97100,1.3,1.69,11.7,2.5,9057
1975,6,19,97100,1,2.5,15.6,1.4,11917
1975,6,20,97100,0,3.36,15.2,2.9,17632
1975,6,21,97100,5,1.84,16.3,2,8925
1975,6,22,97100,5.8,2.73,19.2,2,13277
1975,6,23,97100,0.5,2.49,19.5,0.7,12323
1975,6,24,97100,0.4,2.59,20.4,2,10959
1975,6,25,97100,0,4.1,18.2,3.6,17752
1975,6,26,97100,0,5.13,18.5,2.5,26716
1975,6,27,97100,0,3.81,17.7,3.6,15018
1975,6,28,97100,0,2.79,13,3.6,10117
1975,6,29,97100,1.1,3.25,13.6,2.9,15676
1975,6,30,97100,1.1,3.38,13.6,2.9,16071
1975,7,1,97100,0,4.65,14.1,2,27729
1975,7,2,97100,0,3.86,15.4,4.3,19840
1975,7,3,97100,0,5.54,20.5,3.6,24974
1975,7,4,97100,1.1,3.43,19.7,2,16142
1975,7,5,97100,0.4,3.19,19.7,2,13820
1975,7,6,97100,0,5.52,20.6,2.9,25578
1975,7,7,97100,0,6.63,22.7,3.6,27444
1975,7,8,97100,4.6,6.11,24.7,2,27684
1975,7,9,97100,0,5.03,19.7,2.5,26435
1975,7,10,97100,1.3,4.57,19.6,1,25321
1975,7,11,97100,17.5,3.54,19.7,2.9,15301
1975,7,12,97100,0,4.7,18.4,2.9,23496
1975,7,13,97100,0,4.8,20.9,2,23325
1975,7,14,97100,0,6.75,23.7,3.6,27324
1975,7,15,97100,0,6.22,20.4,5.7,25666
1975,7,16,97100,0,3.37,18.5,3.6,10443
1975,7,17,97100,0,3.61,19.7,1.4,16720
1975,7,18,97100,8.5,3.03,18.2,1.4,14939
1975,7,19,97100,6.4,3.4,16.6,2,19453
1975,7,20,97100,0.7,2.59,17.3,2.9,11920
1975,7,21,97100,17.4,2.83,18.7,2,13085
1975,7,22,97100,0,4.47,17.3,2.5,24783
1975,7,23,97100,0,5.26,19.4,4.3,23262
1975,7,24,97100,1.5,4.76,17.5,5.7,19481
1975,7,25,97100,3.2,3.49,14.7,3.6,16374
1975,7,26,97100,0,3.66,13.4,1.4,23751
1975,7,27,97100,0,2.55,15.2,1.4,12699
1975,7,28,97100,0,4.41,18.6,2.9,22302
1975,7,29,97100,0,5.37,20.2,2.5,26328
1975,7,30,97100,0,5.74,21.2,2.9,25596
1975,7,31,97100,0,4.06,22.6,0.7,21053
1975,8,1,97100,0,4.16,22.2,3.6,13375
1975,8,2,97100,0,5.68,22.5,2.5,25368
1975,8,3,97100,0,6.22,24.1,2.5,26073
1975,8,4,97100,0,6.34,24.9,2.5,26119
